CSA_ID,Mailing_ST,Mailing_City,Mailing_State,Mailing_StateFIPS,Mailing_Zip,marketname,HQ_ST,HQ_City,HQ_State,HQ_StateFIPS,HQ_Zip,CSA_ManagerName,CSA_Email,CSA_Phone,CSA_Website,Available_Months,Available_Month1,Available_Month2,Available_Month3,Available_Month4,Available_Month5,Available_Month6,Available_Month7,Available_Month8,Available_Month9,Available_Month10,Available_Month11,Available_Month12,ProductList,CSA_organic,CSA_organicDesc,farming_practicesList,farming_practices_type_1,farming_practices_type_2,farming_practices_type_3,farming_practices_type_4,farming_practices_type_5,farming_practices_type_6,NumShares,ShareSizeList,SharesSize_full_half,SharesSize_full,SharesAvailablePurchaseDate,ItemsInShareBoxList,ItemsInShareBox_1,ItemsInShareBox_2,ItemsInShareBox_3,AccptdPmntList,AccptdPmnt_Cash,AccptdPmnt_Checks,AccptdPmnt_CreditCd,AccptdPmnt_SNAP,CSAPaymentTypeList,CSAPaymentType_1,CSAPaymentType_2,CSAPaymentType_3,CSAPaymentType_4,DeliverPickUpMethodList,DeliverPickUpMethod_1,DeliverPickUpMethod_2,DeliverPickUpMethod_3,DeliverPickUpMethod_4,NumNbrDelivery,NameNbrDelivery
3002899,,,,,,Abode Farm CSA,5 Abode Rd.,New Lebanon,NY,36,12125,Evan Thaler,abodecsa@gmail.com,914-610-0073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3005389,,,,,,Adelante Mujeres CSA,2036 Main St. Suite A,Forest Grove,OR,41,97116,Karin Pfeiffer-Hoyt,csa@adelantemujeres.org,503-992-0078 ext. 302,http://www.adelantemujeres.org/agriculture/,Jun; Jul; Aug; Sep; Oct; ,0,0,0,0,0,1,1,1,1,1,0,0,Fresh fruits; Fresh vegetables; ,2,,No pesticides;  Sustainably Grown; ,1,0,0,0,0,0,27,Full shares; Half shares; ,1,1,3/1/2014,CSA decides product assortment based entirely on supply availability; ,1,0,0,Checks; Debit/Credit cards; SNAP benefits (Bridge cards/EBT); ,0,1,1,1,"One advance payment; Reduced subscription fees based on household income; For SNAP shares, we charge a cash/check deposit at the beginning of the season and then members make weekly EBT payments when they pick up their shares.; ",1,0,0,1, Deliver to neighborhood sites; ,1,0,0,0,3,"Forest Grove,Oregon; Portland ,Oregon; "
3000384,,,,,,Adobe House Farm,910 CR 252,Durango,CO,8,81301,Linley Dixon,linley@adobehousefarm.com,970-317-0309,http://www.adobehousefarm.com/,Jun; Jul; Aug; Sep; Oct; ,0,0,0,0,0,1,1,1,1,1,0,0,Cut flowers; Fresh fruits; Fresh vegetables; ,2,,,0,0,0,0,0,0,50,Full shares; work/shares; ,0,1,,CSA decides product assortment based entirely on supply availability; ,1,0,0,Cash; Checks; ,1,1,0,0,One advance payment; Payments in installments; Reduced subscription fees in exchange for labor; ,1,1,1,0, Subscribers pick up merchandise from CSA farm(s); ,0,0,0,1,,
3000002,,,,,,Alaskans Own Seafood ,834 Lincoln St. Rm 23,Sitka,AL,2,99835,Erin Fulton,efulton@thealaskatrust.org,907-738-2275,http://thealaskatrust.org/alaskans-own.php,May; Jun; Jul; Aug; Sep; Oct; ,0,0,0,0,1,1,1,1,1,1,0,0,Fish/seafood; ,2,," line-caught, wild fish; ",0,0,0,0,0,0,104,Full shares; Half shares; 4 or 6 months; ,1,1,3/28/2014,CSA decides product assortment based entirely on supply availability; ,1,0,0,Cash; Checks; Debit/Credit cards; ,1,1,1,0,One advance payment; ,1,0,0,0, Deliver to neighborhood sites; ,1,0,0,0,3,"Sitka,Alaska; Juneau,Alaska; Anchorage,Alaska; "
3001528,,,,,,Aliabaad Farm,4040 Mills Rd.,Sharpsburg,MD,24,21782,Ali Mohadjer,Ali@satways.com,301-432-6863,https://www.facebook.com/aliabaad.farm,Mar; Apr; May; Jun; Jul; Aug; Sep; Oct; Nov; ,0,0,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3000563,,,,,,All Locally Grown Produce LLC  as TeenasPrideCSA,20025 SW 270 St.,Homestead,FL,12,33031,Martina Borek,teenaspridecsa@live.com,305-216-2336,www.teenaspride.com,Jan; Feb; Mar; Apr; May; Nov; Dec; ,1,1,1,1,1,0,0,0,0,0,1,1,Fresh/dried herbs; Fresh vegetables; ,2,," Sustainable growing/ Growing our crops while protecting our plants, people and planet for future generations.; ",0,0,0,0,0,0,350,Full shares; Half shares; 1/4 share for. One person; ,1,1,11/3/2014,CSA decides product assortment based entirely on supply availability; Customers choose from available products prior to each delivery; ,1,0,1,Cash; Checks; Debit/Credit cards; ,1,1,1,0,One advance payment; Payments in installments; Reduced subscription fees in exchange for labor; ,1,1,1,0, Deliver to neighborhood sites; ,1,0,0,0,15,"Miami Beach ,Florida; Homestead,Florida; Key largo,Florida; Aventura,Florida; Miami ,Florida; Coconut Grove,Florida; "
3001655,,,,,,Alma Farm,488 Spec Pond Rd.,Porter,ME,23,04068,Geof Hancock,eat@almafarm.com,207-831-1088,www.almafarm.com,Jan; Jun; Jul; Aug; Sep; Oct; Nov; Dec; ,1,0,0,0,0,1,1,1,1,1,1,1,,1,Yes,,0,0,0,0,0,0,90,Full shares; ,0,1,7/1/2014,CSA decides product assortment based entirely on supply availability; ,1,0,0,Cash; Checks; ,1,1,0,0,"Pay what you can, when you can... but we need all the money...; ",0,0,0,0, Deliver to neighborhood sites;  Subscribers pick up merchandise from CSA farm(s); ,1,0,0,1,4,"Bridgton ,Maine; Fryeburg ,Maine; North Conway ,New Hampshire; Porter,Maine; "
3005516,,,,,,Alternative Roots Farm,11197 130th St.,Madelia,MN,27,56062,Brooke & John Knisley,alternativerootsfarm@yahoo.com,507-439-6541,http://alternativerootsfarm.blogspot.com,Jun; Jul; Aug; Sep; Oct; ,0,0,0,0,0,1,1,1,1,1,0,0,"Canned, preserved fruits/vegetables; Fresh/dried herbs; Fresh fruits; Fresh vegetables; ",1,Yes,No pesticides;  Sustainable; ,1,0,0,0,0,0,29,Full shares; Half shares; Farm Share Credits; ,1,1,6/16/2014,CSA decides product assortment based entirely on supply availability; ,1,0,0,Cash; Checks; ,1,1,0,0,"One advance payment; Deposit, then full payment due before first delivery; ",1,0,0,0, Deliver to neighborhood sites;  Deliver directly to subscribers’ homes;  Deliver to subscribers’ workplaces;  Subscribers pick up merchandise from CSA farm(s); ,1,1,1,1,1,"New Ulm,Minnesota; "
3000984,,,,,,Angelic Organics,1547 Rockton Rd.,Caledonia,IL,17,61011,John Peterson,csa@angelicorganics.com,815-389-2746,http://www.AngelicOrganics.com,Jun; Jul; Aug; Sep; Oct; Nov; ,0,0,0,0,0,1,1,1,1,1,1,0,Fresh/dried herbs; Fresh vegetables; ,1,Yes," organic, Biodynamic; ",0,0,0,0,0,0,2500,Full shares; Half shares; flex (shareholder chooses a which weeks for delivery); ,1,1,,CSA decides product assortment based entirely on supply availability; ,1,0,0,Checks; Debit/Credit cards; ,0,1,1,0,One advance payment; Payments in installments; ,1,1,0,0,,,,,,,
3000004,,,,,,Arctic Organics,1305 North Smith Rd.,Palmer,AL,2,99645,Sarah and River Bean,info@arcticorganics.com,907-746-1087,http://www.arcticorganics.com/,Jun; Jul; Aug; Sep; ,0,0,0,0,0,1,1,1,1,0,0,0,Fresh vegetables; ,2,,No pesticides; ,1,0,0,0,0,0,113,Full shares; ,0,1,4/15/2014,CSA decides product assortment based entirely on supply availability; ,1,0,0,Cash; Checks; ,1,1,0,0,"One half payment prior to season, second half payment in July; ",0,0,0,0, Deliver to neighborhood sites;  Subscribers pick up merchandise from CSA farm(s); ,1,0,0,1,2,"Anchorage,Alaska; Eagle River,Alaska; "
3000056,,,,,,Arkansas Local Food Network,509 Scott St,Little Rock,AR,5,72201,Alex Handfinger,ARLocalFoodNetwork@gmail.com,501-291-2769,http://littlerock.locallygrown.net/,Year Round,1,1,1,1,1,1,1,1,1,1,1,1,"Baked goods; Canned, preserved fruits/vegetables; Coffee/tea; Cut flowers; Dairy products; Eggs; Fresh/dried herbs; Fresh fruits; Fresh vegetables; Honey; Juices/non-alcoholic ciders; Mushrooms; Nuts; Pet food; Poultry/fowl meat/products; Red/non-poultry meat/products; Soap/body care products; Wild harvested forest products; ",1,Yes,No pesticides; No antibiotics; No hormones; Humane treatment of animals; Pasture-raised/free range animals; ,1,1,1,0,1,1,200,weekly ordering; ,0,0,1/1/2014,Customers choose from available products prior to each delivery; ,0,0,1,Cash; Checks; Debit/Credit cards; SNAP benefits (Bridge cards/EBT); ,1,1,1,1,Payments in installments; Reduced subscription fees in exchange for labor; ,0,1,1,0, Subscribers pick up merchandise from CSA farm(s); ,0,0,0,1,,
3000985,,,,,,August Creek Farm,1414 N 2400 East Rd.,Assumption,IL,17,62510,Andrea Corzine,Andrea@AugustCreekFarm.com,217-820-1414,Www.augustcreekfarm.com,Jun; Jul; Aug; Sep; Oct; ,0,0,0,0,0,1,1,1,1,1,0,0,Cut flowers; Fresh/dried herbs; Fresh vegetables; ,2,,No pesticides; ,1,0,0,0,0,0,20,Full shares; Half shares; ,1,1,3/15/2014,CSA decides product assortment based entirely on supply availability; ,1,0,0,Cash; Checks; ,1,1,0,0,One advance payment; Payments in installments; ,1,1,0,0, Deliver to neighborhood sites;  Subscribers pick up merchandise from CSA farm(s); ,1,0,0,1,1,"Decatur ,Illinois; "
3000080,,,,,,Avalon Organic Gardens & EcoVillage,PO Box 4910,Tubac,AZ,4,85646,Tarenta Baldeschi,csa@avalongardens.org,520-603-9932,http://www.avalongardens.org,Year Round,1,1,1,1,1,1,1,1,1,1,1,1,Eggs; Fresh/dried herbs; Fresh vegetables; ,2,,"No pesticides; No antibiotics; No hormones; Pasture-raised/free range animals;   Bio dynamic and organic methods, but not certified; ",1,1,1,0,0,1,150,Full shares; Two thirds shares and CSA restaurant; ,0,1,1/2/2014,CSA decides product assortment based entirely on supply availability;  at the beginning of the year we look into what we can make availble with the input we get from the customers; ,1,0,0,Cash; Checks; Debit/Credit cards; SNAP benefits (Bridge cards/EBT); Trades for volunteer work or material donations; ,1,1,1,1,"six weeks minimum ahead, for SNAP members 2 weeks min., trades for labor and donations vary; ",0,0,0,0, Deliver to neighborhood sites;  Subscribers pick up merchandise from CSA farm(s); ,1,0,0,1,4,"Tucson,Arizona; Tubac,Arizona; Green Valley ,Arizona; Nogales ,Arizona; "
3005420,,,,,,Avodah Farm,N3729 McGrath Ln.,Pepin,WI,55,54759,Martha Black,avodahfarm@gmail.com,715-307-8662,http://www.avodahfarm.net/,Jun; Jul; Aug; Sep; Oct; Nov; ,0,0,0,0,0,1,1,1,1,1,1,0,Eggs; Fresh/dried herbs; Fresh vegetables; ,2,,No pesticides; ,1,0,0,0,0,0,44,Full shares; Half shares; Travelers Choice: choose any 12-16 deliveries per season; ,1,1,1/1/2014,CSA decides product assortment based entirely on supply availability; ,1,0,0,Cash; Checks; ,1,1,0,0,One advance payment; ,1,0,0,0, Deliver to neighborhood sites; ,1,0,0,0,4,"St Paul,Minnesota; St Louis Park,Minnesota; Mendota Heights ,Minnesota; Minneapolis ,Minnesota; "
3000645,,,,,,Babe and Sage Farm,990 Lewiston Rd.,Gordon,GA,13,31031,Chelsea Losh,babeandsage@gmail.com,478-628-9059,http://www.babeandsagefarm.com,Jan; Feb; Mar; Apr; May; Jun; Jul; Oct; Nov; Dec; ,1,1,1,1,1,1,1,0,0,1,1,1,Baked goods; Cut flowers; Dairy products; Eggs; Fresh fruits; Fresh vegetables; Poultry/fowl meat/products; Red/non-poultry meat/products; ,2,,No pesticides; No antibiotics; No hormones; Fair Labor practices; Humane treatment of animals; Pasture-raised/free range animals; ,1,1,1,1,1,1,60,Full shares; ,0,1,1/14/2014,Customers choose from available products prior to each delivery; ,0,0,1,Cash; Checks; Debit/Credit cards; ,1,1,1,0,Payments in installments; ,0,1,0,0, Deliver to neighborhood sites;  Subscribers pick up merchandise from CSA farm(s); ,1,0,0,1,4,"Milledgeville ,Georgia; Macon ,Georgia; Gray ,Georgia; "
3005064,,,,,,Backyard Bounty,W4873 County Highway U,Plymouth,WI,55,53073,Laura Comerford,ljcomerford@hotmail.com,920-892-4319,https://ljcomerford.wordpress.com,May; Jun; Jul; Aug; Sep; Oct; Nov; ,0,0,0,0,1,1,1,1,1,1,1,0,Eggs; Fresh/dried herbs; Fresh fruits; Fresh vegetables; Honey; Mushrooms; Poultry/fowl meat/products; ,2,,No antibiotics; No hormones; Pasture-raised/free range animals; ,0,1,1,0,0,1,50,"Full shares; Half shares; Spring Share, Winter Storage Box; ",1,1,9/1/2013,CSA decides product assortment based entirely on supply availability; CSA offers subscription options for specific product categories at the beginning of the delivery season; ,1,1,0,Cash; Checks; Debit/Credit cards; SNAP benefits (Bridge cards/EBT); Work; ,1,1,1,1,One advance payment; Reduced subscription fees in exchange for labor; Reduced subscription fees based on household income; Payment in installments prior to the beginning of the delivery season; ,1,0,1,1, Deliver to neighborhood sites;  Deliver to subscribers’ workplaces;  Subscribers pick up merchandise from CSA farm(s); ,1,0,1,1,7,"Manitowoc ,Wisconsin; Sheboygan ,Wisconsin; Plymouth ,Wisconsin; New Holstein,Wisconsin; More as needed,Wisconsin; "
3005067,,,,,,Bard Family Market Garden,3055 Siggelkow Rd.,McFarland,WI,55,53589,Katrina Bard,bardfamilymarketgarden@gmail.com,608-213-4470,https://www.bardfamilymarketgarden.com,Jun; Jul; Aug; Sep; Oct; ,0,0,0,0,0,1,1,1,1,1,0,0,Fresh vegetables; ,2,, Sustainable; ,0,0,0,0,0,0,12,Full shares; Small; ,0,1,1/1/2014,CSA decides product assortment based entirely on supply availability; ,1,0,0,Cash; Checks; Debit/Credit cards; ,1,1,1,0,Payments in installments; ,0,1,0,0, Deliver to neighborhood sites;  Deliver to subscribers’ workplaces; ,1,0,1,0,2,"Stoughton,Wisconsin; "
3005408,,,,,,Barren's Local Loot,PO Box 641,Glasgow,KY,21,42141,Natalie Thomerson and DeAnna Dickerson,barrenlocalloot@gmail.com,270-889-4906,https://www.facebook.com/barrenlocalloot,Aug; Sep; ,0,0,0,0,0,0,0,1,1,0,0,0,"Baked goods; Canned, preserved fruits/vegetables; Dairy products; Eggs; Fresh/dried herbs; Fresh vegetables; Honey; ",1,Yes,,0,0,0,0,0,0,8,Half shares; ,1,0,8/2/2014,CSA decides product assortment based entirely on supply availability; ,1,0,0,Cash; Checks; ,1,1,0,0,One advance payment; Payments in installments; ,1,1,0,0, Subscribers pick up merchandise from CSA farm(s); ,0,0,0,1,,
3004486,,,,,,Bart & Sarah's at Great Oak Farm,16034 Little Fork Church Rd.,Rixeyville,VA,51,22737,Sarah Shepard Mobius,sarah@bartandsarahs.com,540-687-1265,http://www.bartandsarahs.com,Apr; May; Jun; Jul; Aug; Sep; Oct; Nov; ,0,0,0,1,1,1,1,1,1,1,1,0,"Canned, preserved fruits/vegetables; Mushrooms; Pet food; Poultry/fowl meat/products; ",2,,"No pesticides; No antibiotics; No hormones; Humane treatment of animals; Pasture-raised/free range animals;  non-GMO feed, raised on grass that is not sprayed with chemical fertilizers or pesticides; ",1,1,1,0,1,1,2,Full shares; Half shares; ,1,1,1/1/2014,CSA offers subscription options for specific product categories at the beginning of the delivery season; ,0,1,0,Cash; Checks; Debit/Credit cards; ,1,1,1,0,One advance payment; Payments in installments; ,1,1,0,0, Deliver to neighborhood sites;  Deliver directly to subscribers’ homes;  Deliver to subscribers’ workplaces;  Subscribers pick up merchandise from CSA farm(s); ,1,1,1,1,,"Ballston,Virginia; Warrenton,Virginia; Manassas,Virginia; Chantilly,Virginia; Alexandria,Virginia; "
3002917,,,,,,Becker Farms CSA,3794 Quaker Rd.,Gasport,NY,36,14067,Oscar Vizcarra,beckerfarmscsa@gmail.com,716 280-1500,http://beckerfarms.csaware.com/store/,Jun; Jul; Aug; Sep; Oct; ,0,0,0,0,0,1,1,1,1,1,0,0,Baked goods; Dairy products; Eggs; Fresh/dried herbs; Fresh fruits; Fresh vegetables; Honey; Maple products; Wine/spirits/beer/hard cider; ,2,,,0,0,0,0,0,0,260,Full shares; Half shares; ,1,1,3/21/2014,CSA decides product assortment based entirely on supply availability; ,1,0,0,Cash; Checks; Debit/Credit cards; ,1,1,1,0,One advance payment; Payments in installments; weekly payment option; ,1,1,0,0, Deliver to neighborhood sites;  Deliver to subscribers’ workplaces;  Subscribers pick up merchandise from CSA farm(s); ,1,0,1,1,6,"Amherst,New York; North Tonawanda ,New York; Niagara Falls ,New York; Lewiston,New York; Lockport ,New York; Buffalo ,New York; Gasport,New York; "
3002650,,,,,,Bee Fields Farm,555 Abbot Hill Rd.,Wilton,NH,33,03086,Elad Sadeh,lior@beefieldsfarm.com,603-654-1097,www.beefieldsfarm.com,Year Round,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3002840,,,,,,Beneficial Farms,37 Mesa Top Farm Loop,Santa Fe,NM,35,87508,Colleen and Steven Warshawer,shares@beneficialfarm.com,505-470-1969,www.beneficialfarm.com,Year Round,1,1,1,1,1,1,1,1,1,1,1,1,Dairy products; Dry beans; Eggs; Fresh/dried herbs; Fresh fruits; Fresh vegetables; Grains/flour; Honey; Juices/non-alcoholic ciders; Mushrooms; Poultry/fowl meat/products; Red/non-poultry meat/products; ,1,Yes,,0,0,0,0,0,0,150,Full shares; ,0,1,1/2/2014,CSA decides product assortment based entirely on supply availability; CSA offers subscription options for specific product categories at the beginning of the delivery season; Customers choose from available products prior to each delivery; ,1,1,1,Cash; Checks; Debit/Credit cards; electronic payment; ,1,1,1,0,One advance payment; Payments in installments; Reduced subscription fees in exchange for labor; ,1,1,1,0, Deliver to neighborhood sites; ,1,0,0,0,5,"Santa Fe,New Mexico; "
3000799,,,,,,Berry Patch Farm,62785 280 St.,Nevada,IA,19,50201,Dean Henry,info@berrypatchfarm.com,515-382-5138,Www.berrypatchfarm.com,May; Jun; Jul; Aug; Sep; Oct; Nov; Dec; ,0,0,0,0,1,1,1,1,1,1,1,1,"Canned, preserved fruits/vegetables; Fresh fruits; Fresh vegetables; Honey; Maple products; ",2,, IPM; ,0,0,0,0,0,0,,Alacarte; ,0,0,,Customers choose from available products prior to each delivery; ,0,0,1,Cash; Checks; Debit/Credit cards; SNAP benefits (Bridge cards/EBT); ,1,1,1,1,Pay for order; ,0,0,0,0, Deliver to neighborhood sites; ,1,0,0,0,1,; 
