FMID,Marketname,,street,city,State,zip,Season1Start,Season1End,Season1Time,Season2Date,Season2Time,Season3Date,Season3Time,Season4Date,Season4Time,x,y,Credit,WIC,WICcash,SFMNP,SNAP,Organic,Bakedgoods,Cheese,Crafts,Flowers,Eggs,Seafood,Herbs,Vegetables,Honey,Jams,Maple,Meat,Nursery,Nuts,Plants,Poultry,Prepared,Soap,Trees,Wine,Coffee,Beans,Fruits,Grains,Juices,Mushrooms,PetFood,Tofu,WildHarvested
1005299,29th and Wharton Farmers' Market,http://www.foodtrustmarkets.org/graysferry.html,29th and Wharton Streets,Philadelphia,Pennsylvania,19146,,,Tue: 2:00 PM-6:00 PM;,,,,,,,-75.19204,39.9373,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1000380,2nd Street Public Market,http://www.secondstreetpublicmarket.com,2003 2nd Street,Tillamook,Oregon,97141,,,,,,,,,,-123.844,45.4569,Y,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1004950,3 French Hens French Country Market,http://www.3frenchhensmarket.blogspot.com,123 W. Illinois ave. ,Morris,Illinois,60450,May,October,Sat: 8:00 AM-2:00 PM;,11/14/2014 to 11/15/2014,Fri: 4:30 PM-10:00 PM;Sat: 9:00 AM-3:00 PM;,,,,,-88.425186,41.356383,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,N,Y,N,Y,N,N,N,Y,N,N
1005636,32nd Street/Waverly Farmers Market,http://www.32ndstreetmarket.org,E. 32nd & Barclay Street,Baltimore,Maryland,21218,January,December,Sat: 7:00 AM-12:00 PM;,,,,,,,-76.611,39.3272,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N
1005310,33rd and Diamond Farmers' Market,http://www.foodtrustmarkets.org/markets.html,N 33rd and Diamond Streets,Philadelphia,Pennsylvania,19121,,,Tue: 2:00 PM-6:00 PM;,,,,,,,-75.18706,39.98867,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1003161,38th & Meridian Farmers Market,,3808 North Meridian Street,Indianapolis,Indiana,46208,June,October,Thu:4:00 PM - 6:30 PM;,,,,,,,-86.15875,39.82604,Y,Y,Y,Y,N,N,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N
1004414,3rd & Curry St. Farmers Market,http://www.carsonfarmersmarket.com,3rd & Curry Street,Carson City,Nevada,89703,June,September,Sat:8:30 AM - 1:30 PM;,,,,,,,-119.7678,39.16257,Y,N,N,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N
1010331,4th and Lehigh Farmers' Market,,4th and West Lehigh Ave,Philadelphia,Pennsylvania,,,,,,,,,,,-75.1383532,39.9918465,Y,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1006234,4th Street Farmers Market,http://www.4thstreetfarmersmarket.com,315 East 4th St.,Larimer,Colorado,,,,,,,,,,,-105.073,40.3954,Y,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1006494,52 & Shadeland Avenue Farmers Market,,5200 N. Shadeland Avenue,Indianapolis,Indiana,46226,,,,,,,,,,-86.0476,39.8481,Y,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1005304,52nd and Haverford Farmers' Market,http://www.foodtrustmarkets.org/markets.html,N 52nd Street and Haverford Avenue,Philadelphia,Pennsylvania,19139,,,Wed: 1:00 PM-5:00 PM;Fri: 1:00 PM-5:00 PM;,,,,,,,-75.22461,39.96498,Y,Y,N,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1000060,57th Street Greenmarket,http://www.grownyc.org,W 57 St. & 9 Ave,New York,New York,10019,April,December,Wed: 8:00 AM-5:00 PM;Sat: 8:00 AM-5:00 PM;,,,,,,,-73.985839,40.768159,Y,Y,Y,Y,Y,N,Y,Y,N,N,Y,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N
1005306,58th and Chester Farmers' Market,http://www.foodtrustmarkets.org/markets.html,58th Street and Chester Avenue,Philadelphia,Pennsylvania,19143,,,Wed: 2:00 PM-6:00 PM;,,,,,,,-75.228324,39.935556,Y,Y,N,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1002678,61st Street Farmers Market,http://www.experimentalstation.org/farmers-market,6100 S Blackstone,Chicago,Illinois,60637,January,April,Sat: 9:00 AM-2:00 PM;,05/17/2014 to 10/25/2014,Sat: 9:00 AM-2:00 PM;,11/01/2014 to 12/13/2014,Sat: 9:00 AM-2:00 PM;,,,-87.590793,41.784342,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N
1010386,6th Ave Farmers Market,http://www.tacomafarmersmarket.com,6th and Pine,Tacoma,Washington,98406,May,September,Tue: 3:00 PM-7:00 PM;,,,,,,,-122.4736263,47.255403,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,N,N,Y,N,N,Y
1000061,79th Street Greenmarket,http://www.grownyc.org,Columbus - W 78 & 81 Sts.,New York,New York,10024,January,December,Sun: 8:00 AM-5:00 PM;,,,,,,,-73.9757,40.7818,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N
1000062,82nd Street Greenmarket,http://www.grownyc.org,E 82nd St. - 1st & York Ave,New York,New York,10028,January,December,Sat: 9:00 AM-2:30 PM;,,,,,,,-73.95009,40.773749,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,N,Y,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N
1008391,84 West Farmers Market (Dothan),,,Dothan,Alabama,,June,August,Thu: 3:00 PM-6:00 PM;,,,,,,,-85.449944,31.232252,Y,N,N,Y,N,N,Y,N,Y,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,N
1001961,8th Avenue City Farmers Market,,8th Ave & 2nd St SE,Cedar Rapids,Iowa,52401,May,October,Tue:4:00 PM - 6:00 PM;Sat:7:30 AM - 12:00 PM;,,,,,,,-91.6626534,41.972837,Y,Y,N,Y,N,-,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N
1000063,92nd Street Greenmarket,http://www.grownyc.org,1st Ave - E 92nd & 93 Sts.,New York,New York,10128,June,November,Sun: 9:00 AM-4:00 PM;,,,,,,,-73.946421,40.780931,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N
1000064,97th Street Greenmarket,http://www.grownyc.org,W 97 St. & Columbus,New York,New York,10025,January,December,Fri: 8:00 AM-2:00 PM;,,,,,,,-73.967012,40.79356,Y,Y,Y,Y,Y,N,Y,Y,N,N,Y,N,Y,Y,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N
1000986,9th West Farmers Market,http://www.9thwestfarmersmarket.org,1000 South 900 West,Salt Lake City,Utah,84110,May,October,Sun: 9:00 AM-2:00 PM;,,,,,,,-111.91753,40.747999,Y,N,N,N,Y,-,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,Y,N,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,N
1010617,A + Organic Farmers Market,http://organicgrowndirect.com/,Lee Rd. Farm,Boynton Beach ,Florida,33473,,,,,,,,,,-80.221052,26.489351,Y,N,N,N,N,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,N,N,N,N,Y,N,Y,Y,N,Y,N,N,Y
1001683,A Better Choice Bakery & Market,https://www.facebook.com/nottinghamfarmersmarket,27 W Potomac Street,Brunswick,Maryland,21716,January,December,Mon:12:00 PM - 5:00 PM;Tue:12:00 PM - 5:00 PM;Wed:12:00 PM - 5:00 PM;Thu:12:00 PM - 5:00 PM;Fri:12:00 PM - 5:00 PM;Sat:10:00 AM - 5:00 PM;Sun:12:00 PM - 5:00 PM;,,,,,,,-77.6277075,39.313066,Y,N,N,N,N,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N
1009004,A Growers' Market,,229 Lake Ella Drive,Tallahassee ,Florida,32303,January,December,Wed: 3:00 PM-6:30 PM;,,,,,,,-84.2792304,30.4624713,Y,Y,N,Y,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,N
1002697,A Kentucky Farmer's Market LLC,,2349 S Hwy 127,Russell Springs,Kentucky,42642,June,October,Tue:7:00 AM - 4:00 PM;Fri:7:00 AM - 4:00 PM;Sat:7:00 AM - 2:00 PM;,,,,,,,-85.076795,37.032535,Y,Y,N,Y,N,N,N,N,Y,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1001887,Aaffa Community Farmers Market,https://www.facebook.com/pages/Anderson-Area-Farm-Food-Association/431344110224404,402 North Murray Avenue,Anderson,South Carolina,29624,May,September,Tue: 5:00 PM-8:00 PM;,,,,,,,-82.652159,34.506706,Y,N,N,N,N,-,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,N,Y,Y,Y,N,Y,N,Y,Y,N,Y,N,N,N
1007585,Aamc Farmers's Market,,"2001 Medical Parkway, Sajak Pavilion",Annapolis,Maryland,21401,,,,,,,,,,-76.6123,39.006,Y,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1004573,Abbeville Farmers Market,,118 Trinity Street at Livery Stable,Abbeville,South Carolina,29620,June,October,Thu: 4:00 PM-8:00 PM;Fri: 7:00 AM-12:00 PM;,,,,,,,-82.380242,34.177429,Y,N,N,Y,N,N,Y,N,Y,N,Y,N,Y,Y,Y,N,N,Y,N,N,Y,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N
1009028,Abbeville Farmers Market,https://www.facebook.com/pages/Abbeville-Farmers-Market/234180039938887,Kirkland Street,Abbeville ,Alabama,,June,July,Fri: 3:00 PM-6:00 PM;,,,,,,,-85.250365,31.571271,Y,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1004598,Abbotsford Farmers Market,,1011 East Spruce St.,Abbotsford,Wisconsin,54405,May,October,Tue:1:30 PM - 5:30 PM;,,,,,,,-90.307145,44.945665,Y,Y,N,Y,N,-,Y,N,Y,Y,N,N,Y,Y,Y,Y,Y,N,Y,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N
1003865,Abbott Northwestern Farmers Market,http://www.iatp.org/minimarkets,800 E 28th St,Minneapolis,Minnesota,,,,,,,,,,,-93.2629,44.9556,Y,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1002947,Aberdeen Farmers Market,http://www.dakotaflavor.com/category.asp?catid=12,"2nd Ave., S.E. & S. Lincoln Street",Aberdeen,South Dakota,57401,,,,,,,,,,-98.4866,45.4631,Y,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1004031,Abilene Farmers Market,,East 1st & Buckeye St.,Abilene,Kansas,67410,,,,,,,,,,-97.2139,38.9153,Y,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1006744,Abingdon Farmers Market,http://www.abingdonfarmersmarket.com,Remsburg Drive and Cummings Street,Abingdon,Virginia,24210,January,December,Tue: 3:00 PM-6:00 PM;Sat: 8:00 AM-1:00 PM;,,,,,,,-81.977406,36.708734,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,Y
1000065,Abingdon Square Greenmarket,http://www.grownyc.org,W12 St. & 8th Ave,New York,New York,10014,January,December,Sat: 8:00 AM-2:00 PM;,,,,,,,-74.00528,40.737177,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N
1006988,Abington,http://www.abingtonsage.com,362 Plymouth Street,Abington,Massachusetts,02351,July,September,Sat: 9:00 AM-12:00 PM;,,,,,,,-70.9369,42.119,Y,N,N,N,N,N,Y,N,N,N,Y,N,Y,Y,Y,N,Y,N,N,N,Y,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N
1007070,Abington Farmers Market,,12055 Rose Drove,Clarks Summit,Pennsylvania,,,,,,,,,,,-75.7746,41.425,Y,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1004762,Abq Uptown Growers' Market,http://www.abquptowngrowersmarket.org,NE parking lot of ABQ Uptown shopping center,Albququerque,New Mexico,,,,Sat: 7:00 AM-12:00 PM;,,,,,,,-106.565838,35.103988,Y,Y,N,Y,Y,-,Y,Y,Y,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N
1009543,Abv Farm Market,http://www.appleblossomvillage.com/,690 Allegheny Road,Mount Bethe,Pennsylvania,18343,,,,,,,,,,-75.0998,40.8743,Y,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1002108,Acadia Farmers' Market in Town Hill,www.Facebook.com/AcadiaFarmersMarket,,Town Hill,Maine,,,,,,,,,,,-68.9716,44.5908,Y,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1007575,Acadiana Farmers Market,,801 Foreman Drive,Opelousas,Louisiana,70570,,,,,,,,,,-92.0634,30.2147,Y,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1005122,Ace Farmers Market,,115 Black River Blvd,Rome,New York,,,,,,,,,,,-75.4541,43.2098,Y,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1008461,Acme Ranch Truck Patch,http://agrimissouri.com/mo-grown/grodetail.php?type=mo-grown&ID=1877,RR1 Box 146,Birch Tree,Missouri,65438,,,Mon: 9:00 AM-5:00 PM;Tue: 9:00 AM-5:00 PM;Wed: 9:00 AM-5:00 PM;Thu: 9:00 AM-5:00 PM;Fri: 9:00 AM-5:00 PM;Sat: 9:00 AM-5:00 PM;,,,,,,,-91.492638,36.991165,Y,N,N,N,N,-,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N
1003469,Acton-Boxborough Farmers Market,http://www.ABFarmersMarket.org,1 Pearl St,Acton,Massachusetts,01720,June,October,sun:10:00 AM - 1:00 PM;,,,,,,,-71.47415,42.47518,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,N,Y,N,N,N,N,N,N,N,N,N
1003112,Acushnet Farmers Market ,http://www.acushnetfarmersmarket.com,186 Leonard Street,Acushnet,Massachusetts,02743,June,September,Sat: 9:00 AM-1:00 PM;,,,,,,,-70.900663,41.720547,Y,Y,N,Y,N,-,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,N,N,Y,Y,Y,N,Y,Y,N,Y,N,N,N,N,N,N
1007519,Acworth Farmers Market,,Main and Lemon Streets,Acworth,Georgia,,,,,,,,,,,-84.6767,34.0657,Y,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1001393,Ada Farmer's Market,,12th Street and Townsend,Ada,Oklahoma,74820,April,November,Wed: 7:00 AM-;Sat: 7:00 AM-;,,,,,,,-96.679869,34.773589,Y,N,N,N,N,-,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N
1001083,Ada Farmers' Market,http://www.adafarmersmarket.com,7239 Thornapple River Dr.,Ada,Michigan,49301,June,October,Tue: 11:00 AM-4:00 PM;,,,,,,,-85.4889683,42.9553715,Y,N,N,N,Y,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,N,N,Y,N,N,Y,N,N,N
1006969,Adairco Farmers Market,,"409 Fairground Street, Adair County co-op ext service parking lot",Columbia,Kentucky,,,,,,,,,,,-85.297,37.1043,Y,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1010467,Adairsville Farmers' Market,http://www.adairsvillefarmersmarket.com,7446 Ga 140,Adairsville,Georgia,30103,June,September,Sun: 8:00 AM-11:30 PM;,,,,,,,-84.929569,34.375727,Y,N,N,N,N,Y,Y,N,N,Y,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N
1005790,Adams County Farmers' Market Association,http://www.acfarmersmarkets.org,"Gettysburg Heritage Center, 297 Steinwehr Ave. ",Gettysburg,Pennsylvania,17325,May,October,Wed: 2:00 PM-6:00 PM;,,,,,,,-77.234906,39.819884,Y,Y,N,Y,Y,-,Y,N,N,Y,Y,N,Y,Y,Y,Y,N,N,N,N,Y,N,N,Y,N,N,N,N,Y,N,Y,N,N,N,N
1008775,Adams County Farmers' Market Association (PA),http://www.acfarmersmarkets.org,1863 Gettysburg Village Drive,Gettysburg,Pennsylvania,17325,May,October,Fri: 9:30 AM-2:00 PM;Sat: 9:30 AM-2:00 PM;,,,,,,,-77.200397,39.793778,Y,Y,N,Y,Y,-,Y,N,N,Y,Y,N,Y,Y,Y,Y,N,N,N,N,Y,Y,Y,Y,Y,N,N,N,Y,N,Y,N,N,N,N
1010354,Adams Farmers' & Artisans' Market,https://www.facebook.com/Adams.Farmers.Market,Adams Visitors Center  3 Hoosac St,Adams,Massachusetts,01220,July,September,Sun: 11:00 AM-2:00 PM;,,,,,,,-73.118003,42.6244919,Y,Y,N,Y,N,Y,N,N,Y,Y,Y,N,N,N,Y,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,Y,N,N
1008006,Adams Morgan Farmers Market,http://www.lickingcreekbendfarm.com,18th St. and Columbia Rd. NW,Washington,District of Columbia,20009,June,December,Sat: 8:00 AM-1:00 PM;,,,,,,,-77.042643,38.922637,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N
