OF_ID,createTime,updateTime,finishTime,Location_ST,Location_City,Location_State,Location_StateFIPS,Location_Zip,marketname,Market_Website,Market_Facebook,Market_Twitter,season1_date,season1_time,season1_notes,season1_products,season2_date,season2_time,season2_notes,season2_products,season3_date,season3_time,season3_notes,season3_products,season4_date,season4_time,season4_notes,season4_products,Product_1,Product_2,Product_3,Product_4,Product_5,Product_6,Product_7,Product_8,Product_9,Product_10,Product_11,Product_12,Product_13,Product_14,Product_15,Product_16,Product_17,Product_18,Product_19,Product_20,Product_21,Product_22,Product_23,Product_24,Product_25,Product_26,Product_27,Product_28,ActivityList,Activity_1,Activity_2,Activity_3,Activity_4,Activity_5,Activity_6,Activity_7,Activity_8,Activity_9,Activity_10,Activity_11,FacilitiesList,Facilities_1,Facilities_2,Facilities_3,Facilities_4,Facilities_5,Payment_2,Payment_3,Payment_4,Payment_1
4017553,2014-11-08 20:10:28,2014-11-08 20:37:23,2014-11-08 20:37:23,13433 Ocean Gateway (US Route 50),Wye Mills,Maryland,24,21679,A. H. Herb'n Craft Farm,,,,01/01/2014 to 12/31/2014,Mon: 9:00 AM - 7:00 PM;Wed: 9:00 AM - 7:00 PM;Thu: 9:00 AM - 7:00 PM;Fri: 9:00 AM - 7:00 PM;Sat: 9:00 AM - 7:00 PM;Sun: 9:00 AM - 7:00 PM;,For winter hours open till dark.  Closed on Tuesdays to make deliveries to stores.,"Bedding plants; Eggs; Herbs; Fresh fruits; Fresh vegetables; Honey; Nursery stock; Nuts; Poultry products; Soap; squabs, free range chicken, natural cleaning, healing products, wreaths, topiaries, gifts;",,,,,,,,,,,,,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,0
4014408,,2014-09-16 12:33:43,2014-09-16 12:33:43,6405 109th Avenue,South Haven,Michigan,26,49090,A.W. Overhiser Orchards,www.overhiserorchards.com,www.facebook.com/OverhiserOrchards,,,Mon: 10:00 AM - 5:00 PM;Tue: 10:00 AM - 5:00 PM;Wed: 10:00 AM - 5:00 PM;Thu: 10:00 AM - 5:00 PM;Fri: 10:00 AM - 5:00 PM;Sat: 10:00 AM - 5:00 PM;Sun: 10:00 AM - 5:00 PM;,"Any other times are available by appointment, call to schedule your trip out.",Baked goods; Canned or preserved food; Coffee and/or tea; Cut flowers; Eggs; Fresh fruits; Fresh vegetables; Honey; Juices; Maple products; Nuts; Poultry products; Soap;,,,,,,,,,,,,,1,0,1,1,0,1,0,0,1,0,0,1,1,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,Celebrations/ corporate events; Educational tours/ classes; Family/ youth activities;  Pick Your Own/U-Pick operation; Hay rides; Corn maze; Petting zoo; ,1,1,0,1,1,0,0,1,1,1,0,Hand washing station(s); Picnic areas with tables; ,1,0,0,1,0,1,1,1,0
4014534,,2014-07-27 09:01:05,,3960 SE 115th Street,Belleview,Florida,12,34420,Abshier Blueberry Farm,Www.abshierblueberryfarm.com,www.facebook.com/pages/Abshier-Blueberry-Farm/295455157137236pages/Abshier-Blueberry-Farm/295455157137236,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
4017407,2014-09-08 19:03:41,2014-09-23 14:21:38,,1146 NE Madison Rd,Poulsbo,Washington,53,,Abundantly Green,http://www.abundantlygreen.com/,https://www.facebook.com/Abundantly.Green?ref=br_tf,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
4017168,2014-08-07 13:26:55,2014-08-07 13:31:45,2014-08-07 13:31:45,3400 Bryan Point Road,Accokeek,Maryland,24,20607,Accokeek Organic On-Farm Market,www.accokeekfoundation.org,www.facebook.com/accokeekfoundation,twitter.com/Accokeek,06/14/2014 to 11/29/2014,Sat: 10:00 AM - 2:00 PM;,,Herbs; Fresh fruits; Fresh vegetables;,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Educational tours/ classes; Family/ youth activities;  Pick Your Own/U-Pick operation; Hay rides; ,0,1,0,1,1,0,0,1,0,0,0,Hand washing station(s); Flush toilets; Picnic areas without tables; Picnic areas with tables; ,1,1,1,1,0,1,1,1,1
4017445,2014-09-15 07:54:55,2014-09-15 08:59:21,2014-09-15 08:59:21,310 Kunkle Rd,Kittanning borough,Pennsylvania,42,16201,Acorn Hollow Farm,www.acornhollowfarm.com,Acorn Hollow Farm,,05/15/2015 to 10/04/2015,Fri: 5:00 PM - 8:00 PM;Sat: 2:00 PM - 8:00 PM;,,Cut flowers; Fresh fruits; Fresh vegetables;,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,1,1
4001438,,2014-07-26 19:09:11,2014-07-26 19:09:11,186 leonard street,Acushnet,Massachusetts,25,02743,Acushnet Farmers Market,www.acushnetfarmersmarket.com,https://www.facebook.com/AcushnetFarmersMarket,Acushnetfarmmarket@eventsonthefarm,06/07/2014 to 09/27/2014,Sat: 9:00 AM - 1:00 PM;,,Baked goods; Bedding plants; Canned or preserved food; Coffee and/or tea; Crafts and/or woodworking items; Cut flowers; Dairy products; Eggs; Herbs; Fresh fruits; Fresh vegetables; Honey; Poultry products; Prepared foods; Soap; Wine;,,,,,,,,,,,,,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,"Celebrations/ corporate events; Educational tours/ classes; Farm meals (lunches, dinners, etc.); Family/ youth activities;  ",1,1,1,1,0,0,0,0,0,0,0,Hand washing station(s); ,1,0,0,0,0,1,1,1,0
4016855,,2014-11-08 23:12:14,2014-11-08 23:12:14,15 Higley Hill,Wilmington,Vermont,50,05363,Adams Farm and Meat Processing Shop,http://adamsfamilyfarm.com,https://www.facebook.com/pages/Adams-Farm-Wilmington-Vermont/69664848032,,01/01/2014 to 12/31/2014,,WE ARE OPEN 7 DAYS A WEEK WE SELL LIVESTOCK GRAIN ALSO,Canned or preserved food; Coffee and/or tea; Eggs; Grains and/or flour; Maple products; Pet food; Poultry products; Non-poultry meat; Soap; MISC GIFTS;,,,,,,,,,,,,,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,0,0,0,"Celebrations/ corporate events; Educational tours/ classes; Hay rides; Petting zoo; Pony rides;  Other: FARM RAISED MEATS, EGGS AND POULTRY. ALL ARE STATE INSPECTED;",1,1,0,0,0,0,0,1,0,1,1,Flush toilets; Picnic areas without tables; Picnic areas with tables; ,0,1,1,1,0,1,1,1,0
4012589,,2014-07-27 06:37:18,2014-07-27 06:37:18,69676 Cr376 (40th Ave),Hartford,Michigan,26,49057,Adams Farms,www.facebook.com/Adams.Blueberry.Farms,https://www.facebook.com/Adams.Blueberry.Farms,,07/04/2014 to 09/01/2014,Mon: 8:00 AM - 6:00 PM;Tue: 8:00 AM - 6:00 PM;Wed: 8:00 AM - 6:00 PM;Thu: 8:00 AM - 6:00 PM;Fri: 8:00 AM - 6:00 PM;Sat: 8:00 AM - 6:00 PM;Sun: 8:00 AM - 6:00 PM;,Open all year for Maple Syrup,Fresh fruits; Maple products;,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Pick Your Own/U-Pick operation; ,0,0,0,0,1,0,0,0,0,0,0,Hand washing station(s); Picnic areas with tables; ,1,0,0,1,0,1,1,0,0
4001437,,2014-07-26 22:05:19,2014-07-26 22:05:19,6373 W. US RT 36,Covington,Ohio,39,45318,Adams Greenhouse & Produce LLC,www.adamsgreenhouse.com,https://www.facebook.com/adamsgreenhouse,,01/01/2014 to 12/31/2014,Mon: 9:00 AM - 6:00 PM;Tue: 9:00 AM - 6:00 PM;Wed: 9:00 AM - 6:00 PM;Thu: 9:00 AM - 6:00 PM;Fri: 9:00 AM - 6:00 PM;Sat: 9:00 AM - 2:00 PM;,,Baked goods; Bedding plants; Canned or preserved food; Coffee and/or tea; Cut flowers; Dairy products; Dry beans; Eggs; Herbs; Fresh fruits; Fresh vegetables; Grains and/or flour; Honey; Maple products; Poultry products; Prepared foods; Non-poultry meat; Soap;,,,,,,,,,,,,,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,0,0,0,Educational tours/ classes; Family/ youth activities;  ,0,1,0,1,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,1,0
4015135,,2014-07-29 14:45:47,2014-07-29 14:45:47,3390 John Adams Road,Willow Spring,North Carolina,37,27592,Adams Vineyards,marketing@adamsvineyards.com,https://www.facebook.com/pages/Adams-Vineyard-And-Winery/157209567677328,,01/01/2014 to 12/31/2014,Tue: 11:00 AM - 6:00 PM;Wed: 11:00 AM - 6:00 PM;Thu: 11:00 AM - 6:00 PM;Fri: 11:00 AM - 6:00 PM;Sat: 11:00 AM - 6:00 PM;Sun: 2:00 AM - 6:00 PM;,,Wine;,08/15/2014 to 10/15/2014,Tue: 11:00 AM - 6:00 PM;Wed: 11:00 AM - 6:00 PM;Thu: 11:00 AM - 6:00 PM;Fri: 11:00 AM - 6:00 PM;Sat: 11:00 AM - 6:00 PM;Sun: 2:00 AM - 6:00 PM;,Call for earlier appointments,Fresh fruits;,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Pick Your Own/U-Pick operation; ,0,0,0,0,1,0,0,0,0,0,0,Flush toilets; Picnic areas with tables; ,0,1,0,1,0,1,1,1,0
4013288,,2014-07-29 11:53:53,2014-07-29 11:53:53,85995 Gossler Rd,Eugne,Oregon,41,97405,Adkins Blueberry Farm,,https://www.facebook.com/pages/Adkins-Blueberry-Farm/120648141360744?ref_type=bookmark,,06/28/2014 to 08/16/2014,Tue: 8:00 AM - 5:00 PM;Wed: 8:00 AM - 5:00 PM;Thu: 8:00 AM - 5:00 PM;Fri: 8:00 AM - 5:00 PM;Sat: 8:00 AM - 5:00 PM;Sun: 12:00 PM - 4:00 PM;,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Celebrations/ corporate events; Family/ youth activities;  Pick Your Own/U-Pick operation;  Other: Story Time;,1,0,0,1,1,0,0,0,0,0,0,Hand washing station(s); Picnic areas with tables; ,1,0,0,1,0,1,1,1,0
4017343,2014-08-28 16:04:34,2014-08-28 16:08:41,2014-08-28 16:08:41,S387 Korthals Ln. ,Chaseburg,Wisconsin,55,45621,Adoni Arces Family Farm LLC ,,,,01/01/2014 to 12/31/2014,,,Eggs; Fresh fruits; Poultry products; Non-poultry meat;,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,0
4014549,,2014-07-27 22:36:46,2014-07-27 22:36:46,3261 Endsley Road,Brooksville,Florida,12,34604,Al and MLiss Grissom,,,,01/01/2014 to 12/31/2014,Mon: 6:00 AM - 11:00 PM;Tue: 6:00 AM - 11:00 PM;Wed: 6:00 AM - 11:00 PM;Thu: 6:00 AM - 11:00 PM;Fri: 6:00 AM - 11:00 PM;Sat: 6:00 AM - 11:00 PM;Sun: 6:00 AM - 11:00 PM;,Actually open 24 X 7 always self service.,Honey;,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Educational tours/ classes; ,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,0
4017171,2014-08-07 19:54:40,2014-08-07 20:06:26,2014-08-07 20:06:26,1628 Alna Road,Alna,Maine,23,04535,Albee Farming,,,,05/18/2014 to 10/31/2014,Mon: 9:00 AM - 7:00 PM;Tue: 9:00 AM - 7:00 PM;Wed: 9:00 AM - 7:00 PM;Thu: 9:00 AM - 7:00 PM;Fri: 9:00 AM - 7:00 PM;Sat: 9:00 AM - 7:00 PM;Sun: 9:00 AM - 7:00 PM;,,Cut flowers; Fresh fruits; Fresh vegetables;,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,0
4016878,,2014-08-28 21:43:27,2014-08-28 21:43:27,83 Old Ocean House Rd,Cape Elizabeth,Maine,23,4107,Alewive's Brook Farm,www.alewivesbrookfarm.com,,,01/01/2014 to 12/31/2014,Mon: 9:00 AM - ;Tue: 9:00 AM - ;Wed: 9:00 AM - ;Thu: 9:00 AM - ;Fri: 9:00 AM - ;Sat: 9:00 AM - ;Sun: 9:00 AM - ;,,Canned or preserved food; Cut flowers; Eggs; Fish and/or seafood; Herbs; Fresh fruits; Fresh vegetables; Grains and/or flour;,,,,,,,,,,,,,0,0,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pick Your Own/U-Pick operation; ,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,1,1,1,1,0
4016536,,2014-07-26 18:24:20,2014-07-26 18:24:20,14510 Il Route 176,Woodstock,Illinois,17,60098,All Seasons Orchard,www.allseasonsorchard.com,,,08/30/2014 to 10/31/2014,Mon: 10:00 AM - 5:00 PM;Tue: 10:00 AM - 5:00 PM;Wed: 10:00 AM - 5:00 PM;Thu: 10:00 AM - 5:00 PM;Fri: 10:00 AM - 5:00 PM;Sat: 10:00 AM - 6:00 PM;Sun: 10:00 AM - 6:00 PM;,,Baked goods; Canned or preserved food; Dairy products; Fresh fruits; Fresh vegetables; Honey; Juices; Soap;,,,,,,,,,,,,,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,"Celebrations/ corporate events; Educational tours/ classes; Farm meals (lunches, dinners, etc.); Family/ youth activities;  Pick Your Own/U-Pick operation; Pumpkin shooting; Hay rides; Corn maze; Petting zoo; Pony rides; ",1,1,1,1,1,0,1,1,1,1,1,Hand washing station(s); Flush toilets; ,1,1,0,0,0,1,0,1,0
4014498,,2014-07-26 19:22:47,2014-07-26 19:22:47,124 Diamond Lake Lane,Crescent City,Florida,12,32112,Allison Family Farm LLC.,http://allisonfamilyfarm.com/,,,04/01/2014 to 11/30/2014,,,Eggs; Fresh fruits; Nursery stock; Poultry products;,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Pick Your Own/U-Pick operation; ,0,0,0,0,1,0,0,0,0,0,0,Hand washing station(s); Flush toilets; ,1,1,0,0,0,1,1,0,0
4001422,,2014-09-16 14:24:07,2014-09-16 14:24:07,18388 Beaver Dam Road,Beaverdam,Virginia,51,23015,"Alpaca Pastures of Virginia, Inc",www.AlpacaPasturesVA.com,https://www.facebook.com/AlpacaPasturesVA,,01/01/2014 to 12/31/2014,,Please call for appointment or come during our open events.,Crafts and/or woodworking items;,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Educational tours/ classes; Family/ youth activities;   Other: Seminars and Open House;,0,1,0,1,0,0,0,0,0,0,0,Hand washing station(s); Picnic areas with tables; ,1,0,0,1,0,1,1,0,0
4004533,,2014-07-27 18:41:36,2014-07-27 18:41:36,7020 Plover Rd (Hwy. 54 E),Wisconsin Rapids,Wisconsin,55,54494,Altenburg's Country Gardens LLC,http://www.altenburgsfarm.com/,https://www.facebook.com/altenburgsfarm,,06/15/2014 to 07/15/2014,Mon: 6:30 AM - 7:00 PM;Tue: 6:30 AM - 7:00 PM;Wed: 6:30 AM - 7:00 PM;Thu: 6:30 AM - 7:00 PM;Fri: 6:30 AM - 7:00 PM;Sat: 6:30 AM - 5:00 PM;Sun: 6:30 AM - 5:00 PM;,Start and end dates and daily picking times for strawberry season vary due to weather.  Please check website or call ahead.,Fresh fruits; Fresh vegetables;,09/20/2014 to 10/31/2014,Mon: 9:00 AM - 6:00 PM;Tue: 9:00 AM - 6:00 PM;Wed: 9:00 AM - 6:00 PM;Thu: 9:00 AM - 6:00 PM;Fri: 9:00 AM - 6:00 PM;Sat: 9:00 AM - 6:00 PM;Sun: 11:00 AM - 5:00 PM;,,Canned or preserved food; Fresh fruits; Fresh vegetables; Maple products; Prepared foods;,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,"Educational tours/ classes; Family/ youth activities;  Pick Your Own/U-Pick operation; Hay rides; Corn maze; Petting zoo;  Other: Straw Fort, Duck Race, Goat Walk, Cute Haunted House;",0,1,0,1,1,0,0,1,1,1,0,Hand washing station(s); Picnic areas with tables; ,1,0,0,1,0,1,1,1,0
4000683,,2014-07-30 15:15:44,2014-07-30 15:15:44,22001 Shenandoah School Road,Plymouth,California,06,95669,Amador Flower Farm,AmadorFlowerFarm.com,https://www.facebook.com/pages/Amador-Flower-Farm-Nursery/129585181590,,01/01/2014 to 12/31/2014,Mon: 9:00 AM - 4:00 PM;Tue: 9:00 AM - 4:00 PM;Wed: 9:00 AM - 4:00 PM;Thu: 9:00 AM - 4:00 PM;Fri: 9:00 AM - 4:00 PM;Sat: 9:00 AM - 4:00 PM;Sun: 9:00 AM - 4:00 PM;,"Closed Monday, Tuesday, Wednesday November - Feb.",Bedding plants; Nursery stock;,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Corn maze;  Other: 3 annual events - spring, summer, fall, check website for dates;",0,0,0,0,0,0,0,0,1,0,0,Hand washing station(s); Flush toilets; Picnic areas with tables; ,1,1,0,1,0,1,1,1,0
4001419,,2014-08-12 16:16:12,,82nd & Kinsman rd.,Cleveland,Ohio,39,44104,Amalfi Gardens LLC,,https://www.facebook.com/AmalfiGardens,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
4017429,2014-09-11 17:27:55,2014-09-11 17:31:38,2014-09-11 17:31:38,10262 S 800 E,Amboy ,Indiana,18,46911,Amboy Honey Creek Farms,,,,01/01/2014 to 12/31/2014,,,Honey;,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,1,0
